,track_name,track_id,popularity_score,artist_name,artist_id
45,هيجيلي موجوع,2Heqj9jtxarmecKxycGSWn,67,['Tamer Ashour'],['5rCq30EbJ3DfZPKybGZj8F']
46,ناري,2rKrBAXd7STYoXjmy11n7F,55,['احمد ستار'],['3FqD6nZUigSJdLQvgWoK2E']
47,الوتر الحساس,63Gl4Wqr98iJnWoNGFOQjr,68,['Sherine'],['2Wk167T0fY1fABsHM5qFcI']
48,Est-ce que tu m'aimes ? - Pilule bleue,3a9TMd2Yrza6HXqqlfMtfy,77,['GIMS'],['0GOx72r5AAEKRGQFn3xqXK']
49,HWASI,2HfjQWIHWBmEp2LocJsp11,55,['Lbenj'],['1H0D7p5aN8tGG8DPLt0Nbv']
50,Sabran,682Rtn75JGXSwDR8h0Fqae,57,['AL SHAMI'],['597R32EkdYgLMf1tQcHF8k']
51,كل وعد,53A95mGzwiRKw61TOI7VEW,6,['Wael Jassar'],['5HczG7gdd89oDKY0CUyPof']
52,Ma Fi Leil,7eBCrBVZGlfgbutr8CbqiG,56,"['Nassif Zeytoun', 'Rahma Riad']","['2ieBl5s08uHBwM8sUPvg65', '1JrJQz0AlGYbLxBnOEWfLx']"
53,Ganeni,2qXSWquHZScT6OMJARM6Ql,61,['Elyanna'],['0jIWKlfmD4Ew7HeVVrq03g']
54,"Mast Magan (From ""2 States"")",4wIWWEhbdgKAxhR68eE0Ye,68,"['Arijit Singh', 'Chinmayi']","['4YRxDV8wJFPHPTeXepOstw', '5UJ2sHO2ELrgW6aXeRLTQQ']"
55,3achkek idman,3HDwHT5VuLOm3keFFyLW9N,47,['Cheb Hamidou'],['0WJTTlIjjKvee1iq0PdpWb']
56,Fatou Liyam,6yElpSxAmGJ5w4UFtHyS6c,49,['Cheb Hichem TGV'],['3EJQjKomRx3gpoYmP1bEIl']
57,Kabhi Kabhi Aditi,3APdIdF8H0jsxSuGOqXedS,69,['Rashid Ali'],['281Vp9LDrWkHMHQzfQHWCt']
58,Dwali,0FTatqMMiIIYA1b5tds3Fc,57,['AL SHAMI'],['597R32EkdYgLMf1tQcHF8k']
59,عم المجال,3MzJ2M9PzfCtaGMHAirjIM,59,['Mahmoud El Leithy'],['2iToE4LH0W9zs4hVw3A7m6']
60,انا البطل متخطرهاش مع خطر,47HyIBLOhlRhw2dUf6h7Nx,35,"['Essam Sasa', '3enaba']","['2KjiHtx0h8tyJXbg8aYRgu', '2hCmIARNpYY08fzNfSVGSE']"
61,Souk,0xbh3QhQx7S3GLEOWXWzGr,55,['Samara'],['0WfKB7Lqqykt6gdtirYJUm']
62,Woseltelha,5u9fXoasfJPjLEnLHH9R9O,53,['Haifa Wehbe'],['05ai8foZsZwk0cni0IOuNj']
63,Ya Sidi Ensa,70bsA9PpuP5DTq1OcL01h6,52,"['Nassif Zeytoun', 'Mortadha Ftiti']","['2ieBl5s08uHBwM8sUPvg65', '1JKD6r1BHHPW5UjN9JKwia']"
64,Mimti,0hmkeziIYTAaytHCJEbJQi,49,['Duke'],['6JLJjTC6pSfJousfGwdn6r']
65,HAY LUPITA,5jFA0f4ZDGLbQP4nxzL8D4,72,['Lomiiel'],['2rMFPjySMqkgBajkLKL6zo']
66,Khodni,4wZwR380rCHpIjS4x4w1J7,56,['AL SHAMI'],['597R32EkdYgLMf1tQcHF8k']
67,ARABI,1QBtiLpbw76bqO2h9fOdJQ,47,"['Mohamed Ramadan', 'Future', 'Massari']","['4CflzQprp6nZxKiv0t78tH', '1RyvyyTE3xzB2ZywiAwp0i', '0Jzbm3ifxDNLxxS8M4BS51']"
68,Lammah,0Hk9OFVAxB6mxTtLmmFdkT,12,['Ayed'],['6U4hHMBYGDF1f98bGjxC8U']
69,Alam Aloshag,1zgIuawYbW1aRZ9MTTmnwt,47,"['Khaled Almuthafar', 'Ayed']","['1ToVXfINPwcuiUWRzhg9BG', '6U4hHMBYGDF1f98bGjxC8U']"
70,Carrousel,3VoiH20aQU7IbbgVidWE5P,47,"['Saad Lamjarred', 'Enesse']","['0NjXtqYWpnV055KhfZgtuY', '2QTqRHL8uDkArhkDvnKJFu']"
71,Bla Bla,1PlZpPgiBtPlB7uCAYa3ov,52,['Nouamane Belaiachi'],['25eYSizNX4BK5ZtqAq8pE8']
72,Boom Boom,5pjYaVlejSYb84DlG71Qx4,52,['Hind Ziadi'],['0jGwvpxtkFVxvk9XGunXuK']
73,Magdar,4vT286Zu3aHYW96N76joB7,48,['Zouhair Bahaoui'],['0CaWnepnGfVPs8uNwOzav6']
74,POPO,0sMCcICKRGJ8Td75nZloeU,48,['Stormy'],['5Do9u0GoN4gFn6Nk8NGDhh']
75,انا من غيرك,2nQeY3iJpE57Rnc7r8z2Qx,62,['Bahaa Sultan'],['2KJgliIl1dMyeOMyCcnYv7']
76,Homa Dol,5zESOpfyevtuiHio0fKQLI,53,"['Saad Lamjarred', 'Neeti Mohan', 'Rajat Nagpal']","['0NjXtqYWpnV055KhfZgtuY', '3ZxZ03fj3tXBZHZWzvaLSM', '4yxICw7joYAxRI2sTRldLB']"
77,Aal Doghrey,0rGCXktltsDt5jmcFwjFm4,58,['Reda El Bahrawy'],['3gCqbhXmiSto3R8U9YZcZM']
78,يا خلي,364THEHA4pehlPPj0JdR5V,50,['Bessan Ismail'],['3D19Q7vcrQ8iCeSNcrQpAB']
79,اغنية معلمين - اعلان وي صيف ٢٠٢٤ مع تامر حسني و بهاء سلطان,6ybRRXl13cReF3r7QGFeg5,41,['Telecom Egypt'],['1dIzfeZM7R7E6Wl9MedD9v']
80,مُهرة - MOHRA,4V5CPi2Z1amClPyxT24fgE,46,['Ismaeil Tamr'],['5DzUF6vIJJsWlTX6HgPD6v']
81,Dumlla Dumlla,0P8bIaYfsiI1yNeM2jywuP,0,"['Dafina Zeqiri', 'DYSTINCT']","['6V6mxrGG67IyLFy2l4poNZ', '1cKyknhftNKXCjMBd2hDrG']"
82,Youm Ma Tensa,0Zeh4nKHG4g8qp5oEnNDhQ,43,['Tamer Ashour'],['5rCq30EbJ3DfZPKybGZj8F']
83,Makanak,3MjnP0XuJK48RW49gD8d1k,54,['Amr Diab'],['5abSRg0xN1NV3gLbuvX24M']
84,Wesh El Khair,17YiZo0Gi5B1pXxkiM1NOv,30,"['Ahmed Saad', 'Wafaa']","['5D2ui1KD49TfyCDb35zf5V', '4VgYG6D2QMDpKm1h81NQaf']"
85,زلزال,1dkwlnuR6qpWFLcwi8QTW4,46,['Wadih El Cheikh'],['6eeAS0L17Rl7edN18yWfFl']
86,احنا صيع منحرفين,1knAwiRcTrsScBYDFPXLlw,7,"['Ameen Khattab', 'Essam Sasa']","['15EdXJSvJSrjOGXsIimK0d', '2KjiHtx0h8tyJXbg8aYRgu']"
87,GALBI RAH MEDRAR,5CTSZ5c4U3PJF2uQNDpCVa,49,['Cheb Hichem TGV'],['3EJQjKomRx3gpoYmP1bEIl']
88,e& الساعات الحلوة مابتخلصش من اتصالات من,6kV94Nw14advsvmmiYX3i5,25,"['e& Egypt', 'Mohamed Ramadan', 'Angham']","['1WSXhu4UrkuG4NP3jB13YP', '4CflzQprp6nZxKiv0t78tH', '0IiR4LJwslf6HBSdk9W3Dg']"
89,Mawahashtkesh !!? - From Hormone El Saada Album,1V5nOyehl22kvbNtfR53Qd,42,['Tamer Hosny'],['4cGfgRmpFc9zgZMfuSXhqy']
90,بيكلموني,4mFb5fW3T7DWPSTTb85Y30,4,['Ramy Gamal'],['5miyPYjh5EcpOSqloDJPID']
91,Lmouje,2HQOumI8CH5kHB3V2ZHwnU,54,['7-Toun'],['3IRAzpoLeNDGv7kqwNK3bp']
92,Ya Lili,21b4ZOvOvcmoUCGR4uFbrb,58,"['Balti', 'Hamouda']","['4cgw3nEf6uOQ2NqHwSXErR', '7ep436ioXw7ZOJjpe1tDoN']"
93,Shou Helou,5tlP8y3s1iMDKOoDlN1xQT,56,['Ziad Bourji'],['04N4sGkSTSxjVfbiItLvTj']
94,Boushret Kheir,6DPqxlITNTjIMzcWHCUwCZ,60,['Hussain Aljassmi'],['1TcEy92Hugt8o9STqUDz2D']
95,Ya Habibi,0vhJkJHYeztllhU6z2eFUE,59,"['Mohamed Ramadan', 'GIMS']","['4CflzQprp6nZxKiv0t78tH', '0GOx72r5AAEKRGQFn3xqXK']"
96,Rouhi,2qxPBeL2Q8jRnDv6EPK18A,47,['Zouhair Bahaoui'],['0CaWnepnGfVPs8uNwOzav6']
97,حبيبي ليه,2OSxxCfS81wcds5RbQ0Ztq,63,['TUL8TE'],['5QKGejJMncXUNUb9pUFbEf']
98,MAHBOULA,4AS0ncb4OzzAjwvsgWu9XV,48,['Manal'],['7yK3vix9XmeNwPDmjGs78F']
