track_id,track_name,track_artist,popularity_2023,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_2025,season,year,period,popularity_categorized
3Cgv8rC4pdfRTmmQEpRjkO,southbound,the allman brothers band,0,47JEuhxr6EgINeiUMSn0lu,gold,2005-01-01,Southern Rock/Classic Rock,0QUlq0LMDVXSBtbyYLTyZh,rock,classic rock,0.552,0.832,7,-10.405,0,0.0392,0.0476,0.202,0.273,0.681,124.631,310467,0,,2005,2000s,hardly recognizable
5lrrbifCju6fWX4n1GPRuY,can't take it with you,the allman brothers band,0,47JEuhxr6EgINeiUMSn0lu,gold,2005-01-01,Southern Rock/Classic Rock,0QUlq0LMDVXSBtbyYLTyZh,rock,classic rock,0.438,0.794,2,-10.111,1,0.0599,0.288,0.00709,0.0559,0.729,96.293,214227,0,,2005,2000s,hardly recognizable
6fZO4Uk2yM4MwrY13n2zBI,(don't fear) the reaper - single version,blue öyster cult,1,24atu8BmjlxBrHAS8aWQS1,the singles collection,2005-01-01,Workday: Rock Classics,37i9dQZF1DX1lwxXvReaux,rock,classic rock,0.419,0.909,0,-10.258,1,0.0639,0.00239,1.68e-05,0.24,0.494,142.217,228867,0,,2005,2000s,hardly recognizable
3eOFG0vqpsMqhGHTQJmjQi,don't bring me down,electric light orchestra,2,5N6jHY6IigIUWiF5cE8FQY,all over the world: the very best of elo,2005-01-01,Workday: Rock Classics,37i9dQZF1DX1lwxXvReaux,rock,classic rock,0.64,0.878,2,-6.481,1,0.0335,0.17,0.000232,0.0632,0.795,115.7,243573,0,,2005,2000s,hardly recognizable
0THbsvMRmCHpFT3YLX301c,hey there delilah,plain white t's,6,6mgb91MqhtRR8GScXmJpby,all that we needed,2005-01-01,keg party jukebox,4PjiT7SWnUsTTTvKOuR76f,rock,permanent wave,0.658,0.296,2,-10.584,1,0.0293,0.872,0.0,0.114,0.311,103.975,232813,0,,2005,2000s,hardly recognizable
2QN3pPQYoKsh5dIgEVnsYG,munich,editors,61,3tyXkAvfRDJ8VGSRESupqI,the back room,2005-01-01,Permanent Wave,5glAD13obyL0G9SH9ukBz2,rock,permanent wave,0.175,0.875,7,-4.383,0,0.0527,0.000551,0.0347,0.324,0.394,149.366,226427,0,,2005,2000s,hardly recognizable
3eOFG0vqpsMqhGHTQJmjQi,don't bring me down,electric light orchestra,2,5N6jHY6IigIUWiF5cE8FQY,all over the world: the very best of elo,2005-01-01,HARD ROCK CAFE,55ybnG2z8rpTIerRfnCsw6,rock,hard rock,0.64,0.878,2,-6.481,1,0.0335,0.17,0.000232,0.0632,0.795,115.7,243573,0,,2005,2000s,hardly recognizable
3v0ylYF51SKkgAi4PrfKTq,i'm so sick,flyleaf,48,0k64QfYJiwT7ko5K8z91S3,flyleaf,2005-01-01,Hard Rock Workout!,5nQrMpkyWmxPX0gk74htMk,rock,hard rock,0.431,0.959,10,-4.257,1,0.0854,6.13e-05,6.19e-06,0.118,0.269,153.925,176160,57,,2005,2000s,famous
2KTAe6vWRor7wNIDOZrtfr,remedy,seether,1,0OZQP4dTUj4BoDnFT4bv7Y,karma & effect,2005-01-01,Hard Rock Workout!,5nQrMpkyWmxPX0gk74htMk,rock,hard rock,0.549,0.952,8,-4.664,1,0.0868,0.00019,0.00268,0.0641,0.458,127.815,207213,0,,2005,2000s,hardly recognizable
1sPTEnb7kZhNRavK7BQEW4,iron man,black sabbath,0,7fbHYPeKtW2XQfakwLPonr,lords of dogtown,2005-01-01,Classic Hard Rock,1gAeQGQ7hr2q7IYmaejDW6,rock,hard rock,0.283,0.849,9,-7.148,1,0.158,0.000347,0.00246,0.132,0.536,156.654,353880,0,,2005,2000s,hardly recognizable
3S7hCLF0tbxelnFZMdkn32,motor city madhouse - edit,ted nugent,0,7fbHYPeKtW2XQfakwLPonr,lords of dogtown,2005-01-01,Classic Hard Rock,1gAeQGQ7hr2q7IYmaejDW6,rock,hard rock,0.454,0.93,7,-5.55,1,0.0803,0.0943,0.285,0.13,0.469,119.373,271133,0,,2005,2000s,hardly recognizable
24Pi0KCtYWtnKxxzopkcPG,get stoned,hinder,60,4iBPW5y08WIeGXTkBJAPrF,extreme behavior,2005-01-01,New Hard Rock,64BvJcehegyvhqQtV82Ddz,rock,hard rock,0.448,0.933,7,-4.082,0,0.0421,0.000417,0.000454,0.219,0.505,75.991,218307,62,,2005,2000s,hit
7LIVrWcWJUeCIBsHBkcs2T,can't fight this feeling,reo speedwagon,3,7HJU1Gp7uIIXeD8aI7d9jO,collections,2005-01-01,Rock Ballads 80s 90s | Best Rock Love Songs 80's 90's Music Hits,0y8MUle9Lf8VDNjPsskzJB,rock,hard rock,0.456,0.542,9,-8.552,1,0.0252,0.248,2.26e-05,0.0971,0.229,78.192,293093,0,,2005,2000s,hardly recognizable
6fZO4Uk2yM4MwrY13n2zBI,(don't fear) the reaper - single version,blue öyster cult,1,24atu8BmjlxBrHAS8aWQS1,the singles collection,2005-01-01,Hard Rock Classics 1967-1991 (Party Edition),1NIX36ZFWEtgXSbSNghoue,rock,hard rock,0.419,0.909,0,-10.258,1,0.0639,0.00239,1.68e-05,0.24,0.494,142.217,228867,0,,2005,2000s,hardly recognizable
4NmKZBGuNIvNcuaPfu9SU9,felicidad,gondwana,0,7mQ3FBLNoqHRf8HkY2YVYc,felicidad,2005-01-01,Latin Pop antiguo,4BmnnqWEQAamNoVjtjrQJP,latin,latin pop,0.736,0.667,0,-7.244,1,0.0473,0.00119,0.0,0.133,0.806,143.594,340590,0,,2005,2000s,hardly recognizable
6oyUroY42HiaD9Q9VBw4BP,here without you - acoustic version,3 doors down,11,5vGmRi8jMNCvmysQgBBhpx,seventeen days (international version),2005-01-01,Unplugged Hits 📣,5NTm3injIRkUMROsZr3C2O,latin,latin pop,0.551,0.574,10,-6.265,0,0.0263,0.0203,0.0,0.186,0.308,143.734,232013,0,,2005,2000s,hardly recognizable
2Q8znt4hBfW7jvVleqF8pX,livin' on the edge - acoustic version,aerosmith,25,1x5R2JhIXCl2UpRyksTih5,gold,2005-01-01,Unplugged Hits 📣,5NTm3injIRkUMROsZr3C2O,latin,latin pop,0.464,0.867,2,-5.219,1,0.0326,0.00319,0.00207,0.27,0.39,84.544,337667,0,,2005,2000s,hardly recognizable
4fZ1JsWQ6r7xk3tLi2sEqG,una vez mas,calle ciega,46,5MY9kJKE0htceIs1dmu0ax,una vez mas,2005-01-01,LATIN POP- DJ GIAN,2v3I1zS56Y0cNHYsOAiCGV,latin,latin pop,0.823,0.679,2,-13.757,1,0.0512,0.258,6.64e-06,0.0574,0.919,127.052,230653,0,,2005,2000s,hardly recognizable
1q8NdCAQ9QUjpYiqzdd3mv,atrévete-te-te,calle 13,73,5pmuwmV2OcuiTX7kNczQ16,calle 13 (explicit version),2005-01-01,Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖,2kY6lVc5EcVfI5WNKmPQQG,latin,latin pop,0.829,0.878,9,-5.951,1,0.101,0.0959,0.0,0.776,0.883,87.991,239307,76,,2005,2000s,hit
1q8NdCAQ9QUjpYiqzdd3mv,atrévete-te-te,calle 13,73,5pmuwmV2OcuiTX7kNczQ16,calle 13 (explicit version),2005-01-01,Reggaeton Classics,37i9dQZF1DX8SfyqmSFDwe,latin,reggaeton,0.829,0.878,9,-5.951,1,0.101,0.0959,0.0,0.776,0.883,87.991,239307,76,,2005,2000s,hit
16KDdey3vnSBWwqUZoe1cT,quitate tu pa ponerme yo,eddie dee,58,7txBx0XCrl5IhJuTNgNV4w,12 discipulos,2005-01-01,Reggaeton Classics,37i9dQZF1DX8SfyqmSFDwe,latin,reggaeton,0.765,0.768,2,-4.959,1,0.0742,0.18,0.0,0.0794,0.574,94.243,291658,62,,2005,2000s,hit
2vWWy37CDlDlfPipzb4iIX,los disicipulos,eddie dee,57,7txBx0XCrl5IhJuTNgNV4w,12 discipulos,2005-01-01,Reggaeton Classics,37i9dQZF1DX8SfyqmSFDwe,latin,reggaeton,0.629,0.893,1,-4.009,0,0.275,0.181,0.0,0.115,0.86,94.042,269559,58,,2005,2000s,famous
40AGTob7V8pCDvvXERrCu3,si no cuidas tu mujer,eddie dee,52,7txBx0XCrl5IhJuTNgNV4w,12 discipulos,2005-01-01,Reggaeton Classics,37i9dQZF1DX8SfyqmSFDwe,latin,reggaeton,0.509,0.672,9,-5.527,0,0.0639,0.281,0.0,0.355,0.81,100.102,238891,51,,2005,2000s,famous
2y7EqBBJWdsha2YKjB5uHy,no quiere novio,ñejo,47,7BTv6hHajV2TqACQNHcNUj,"music from the motion picture ""feel the noise""",2005-01-01,Reggaeton De Ayer,37i9dQZF1DWWU6Rfto8Ppm,latin,reggaeton,0.87,0.614,6,-9.892,0,0.259,0.446,0.00035,0.0911,0.804,95.016,196480,39,,2005,2000s,famous
0kwaKhIcaezQuShga1djFA,baila morena - original reggaeton mix,hector & tito,31,6bkuWevak6ZwLiXZaNVNSr,baila morena (reggaeton mix),2005-01-01,Reggaeton De Ayer,37i9dQZF1DWWU6Rfto8Ppm,latin,reggaeton,0.783,0.824,0,-4.973,1,0.123,0.214,0.0,0.102,0.726,93.998,187080,0,,2005,2000s,hardly recognizable
5rhdmtFyYixhT2XZPjzcGb,donde hubo fuego,daddy yankee,53,7txBx0XCrl5IhJuTNgNV4w,12 discipulos,2005-01-01,Reggaeton viejito🔥,0si5tw70PIgPkY1Eva6V8f,latin,reggaeton,0.7,0.766,10,-5.428,0,0.0784,0.186,0.0,0.218,0.868,93.358,205977,61,,2005,2000s,hit
2hMy5zGCBCE5oBKalKWMCd,the streets,lil uno,13,6euFhRipLVGcI51bmzxD1F,the streets,2005-01-01,Chicano Rap,3o3xRXWMtBMezk0E3wmtGI,latin,latin hip hop,0.642,0.831,0,-5.727,0,0.125,0.464,0.0,0.307,0.651,93.494,248707,10,,2005,2000s,hardly recognizable
6pMrghgcX9N6lljolACfrE,ooh baby baby,lil rob,21,7iZDb9FLHpSib3qBa6Rr6e,twelve eighteen part 1,2005-01-01,Chicano Rap,3o3xRXWMtBMezk0E3wmtGI,latin,latin hip hop,0.598,0.781,5,-4.272,1,0.0465,0.17,0.0,0.139,0.626,97.482,209067,4,,2005,2000s,hardly recognizable
02LnwwnaanFpM5dZNArPBb,ella se fue,kinto sol,60,2K0WaWHHDVv7o6x6ZpokCZ,la sangre nunca muere,2005-01-01,Chicano Rap,3o3xRXWMtBMezk0E3wmtGI,latin,latin hip hop,0.831,0.79,10,-5.322,0,0.0843,0.0386,0.000473,0.0708,0.96,93.998,287920,64,,2005,2000s,hit
4RMkS2RKc0dVR4pj7m2LvY,ya estuvo,dyablo,13,0ALVLVeZsYS78TBSrAUB96,mr. knightowl presents la batalla mr. shadow vs. dyablo,2005-01-01,Chicano Rap,3o3xRXWMtBMezk0E3wmtGI,latin,latin hip hop,0.821,0.542,10,-8.165,0,0.274,0.0884,0.0,0.175,0.76,87.099,261720,14,,2005,2000s,hardly recognizable
1mnqraQ8oV8MX92rdOFLWW,1 thing,amerie,59,2PFK4dMZkqUQfxfSrK8WMf,touch,2005-01-01,Urban Contemporary,4Pbs84EQbuAblxlp6Chz0d,r&b,urban contemporary,0.612,0.961,10,-3.078,0,0.333,0.107,4.17e-05,0.0413,0.867,129.873,238760,67,,2005,2000s,hit
